Datetime,Subsistema,Demanda Maxima Instantanea (MW),ENA Bruta (% MLT),EAR MAX (MWmes),Carga de Energia (MWmed),ENA Bruta (MWmed),Demanda Maxima horaria (MWh_h),Geracao de Energia - dia - (GWh),Carga de Energia (GWh),EAR (MWmes),ENA armazenavel (MWmed),EAR (GWh),Geracao de Energia - dia - (MWmed) ,ENA armazenavel (% MLT),EAR (%)
2018-04-28,Sudeste/Centro-Oeste,42856.945,69.55130005,202691.9375,35358.641125,37637.7734375,42347.581,876.0898779999999,848.607387,89330.5078125,31955.5234375,65255.93595703,36503.74491628,59.05099869,44.07210159
2018-04-29,Sudeste/Centro-Oeste,39288.59,68.50939941,202691.9375,31537.576875,37073.96875,38776.416,792.890342,756.901845,89411.6171875,30671.26757813,65315.18635547,33037.09758292,56.67779922,44.11209869
2018-04-30,Sudeste/Centro-Oeste,41690.102,67.15750122,202691.9375,35455.05745833,36342.39453125,41481.278,855.64716,850.921379,89158.6328125,30559.92382813,65130.38126953,35651.96499955,56.47200012,43.98730087
2018-05-01,Sudeste/Centro-Oeste,40131.312999999995,89.71769714,202691.9375,32569.634875,35465.0078125,39748.274,800.091124,781.671237,89168.9765625,29912.03710938,65137.93737891,33337.13016625,75.67009735,43.99240112
2018-05-02,Sudeste/Centro-Oeste,43508.93,88.27500153,202691.9375,37521.91895833,34894.72265625,43156.265,891.3629699999999,900.526055,88982.1171875,30431.17382813,65001.43660547,37140.12374961,76.98339844,43.90019989
2018-05-03,Sudeste/Centro-Oeste,43890.312999999995,86.21559906,202691.9375,38300.80995833,34080.6484375,43583.490999999995,899.2989595,919.219439,88837.9453125,30834.70703125,64896.11905078,37470.78997905,78.0042038,43.82899857
2018-05-04,Sudeste/Centro-Oeste,43903.780999999995,84.74410248,202691.9375,38545.834125,33498.9765625,43741.577000000005,900.26415499,925.100019,88633.71875,30518.47851563,64746.93154688,37511.00645714,77.20420074,43.72829819
2018-05-05,Sudeste/Centro-Oeste,43095.777,83.72589874,202691.9375,35348.875875,33096.46875,42481.71400000001,862.3245789999999,848.373021,88570.359375,30021.1328125,64700.64752344,35930.19079124,75.94609833,43.6969986
2018-05-06,Sudeste/Centro-Oeste,39744.289,82.47370148,202691.9375,31650.232375,32601.46484375,39295.279,788.396124,759.605577,88558.8359375,28382.27734375,64692.22965234,32849.83849958,71.80020142,43.69129944
2018-05-07,Sudeste/Centro-Oeste,42819.57,81.12989807,202691.9375,37131.763,32070.26757813,42597.077000000005,871.6137460000001,891.162312,88307.75,29388.2734375,64508.811375,36317.239416300006,74.3451004,43.56750107
2018-05-08,Sudeste/Centro-Oeste,42472.11,79.93440247,202691.9375,37094.99108333,31597.72265625,42149.114,867.255455,890.279786,88172.3359375,29269.44726563,64409.89140234,36135.64395787,74.04450226,43.500701899999996
2018-05-09,Sudeste/Centro-Oeste,42448.965,79.03769684,202691.9375,36598.84020833,31243.265625,42086.388,896.976427,878.372165,87889.2421875,28656.27929688,64203.09141797,37374.01779125,72.49330139,43.36100006
2018-05-10,Sudeste/Centro-Oeste,42734.437999999995,78.37229919,202691.9375,36556.12208333,30980.20507813,42345.736,877.319358,877.34693,87752.2265625,28420.70507813,64103.00150391,36554.97324959,71.89739990000001,43.29339981
